"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-15","0.00","92","77"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-16","0.00","97","80"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-17","0.00","95","79"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-18","0.00","97","82"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-19","0.00","99","82"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-20","0.00","98","80"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-21","0.29","94","77"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-22","0.00","92","74"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-23","3.06","91","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-24","0.01","88","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-25","0.00","82","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-26","0.00","74","65"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-27","0.00","89","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-28","0.00","84","70"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-29","1.84","82","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-30","0.00","85","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-07-31","0.00","83","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-01","0.29","83","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-02","0.81","76","68"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-03","0.01","86","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-04","0.00","78","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-05","0.00","81","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-06","0.00","80","65"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-07","0.00","80","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-08","0.20","77","71"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-09","0.00","87","76"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-10","0.74","86","73"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-11","0.00","85","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-12","0.00","86","73"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-13","1.57","86","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-14","0.00","84","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-15","0.00","76","60"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-16","0.00","79","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-17","0.00","80","63"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-18","0.05","82","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-19","0.00","76","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-20","0.00","78","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-21","0.00","88","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-22","0.00","90","74"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-23","0.02","90","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-24","0.00","78","65"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-25","0.00","81","62"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-26","0.00","83","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-27","0.00","87","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-28","0.02","91","76"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-29","0.92","78","71"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-30","0.00","82","69"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-08-31","0.00","83","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-01","0.00","88","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-02","0.00","91","77"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-03","0.56","84","72"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-04","0.00","85","64"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-05","0.00","83","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-06","0.00","80","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-07","0.00","75","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-08","0.00","81","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-09","0.00","84","58"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-10","0.00","77","66"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-11","0.00","88","75"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-12","0.00","88","74"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-13","0.42","89","67"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-14","0.00","78","55"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-15","0.00","67","51"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-16","0.03","74","61"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-17","0.02","71","50"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-18","0.00","66","50"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-19","0.00","73","56"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-20","0.00","77","60"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-21","0.00","80","61"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-22","1.20","81","61"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-23","0.00","69","51"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-24","0.00","68","48"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-25","0.00","73","52"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-26","0.00","75","55"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-27","0.00","72","59"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-28","0.00","71","58"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2013-09-29","0.00","73","55"
