"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-19","0.00","70","56",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-20","0.00","76","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-21","0.00","76","58",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-22","0.00","70","48",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-23","0.00","74","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-24","0.00","78","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-25","0.00","78","56",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-26","0.14","84","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-27","0.00","87","54",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-28","0.00","92","78",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-29","0.00","98","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-30","0.00","86","78",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-05-31","0.00","92","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-01","0.59","96","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-02","3.21","85","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-03","2.70","77","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-04","0.00","78","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-05","0.00","76","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-06","0.00","80","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-07","0.41","76","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-08","0.21","80","58",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-09","0.19","82","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-10","0.00","74","55",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-11","0.00","79","54",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-12","0.00","76","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-13","0.00","88","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-14","0.80","83","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-15","0.00","84","65",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-16","0.00","90","69",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-17","0.00","90","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-18","0.00","96","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-19","0.00","92","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-20","0.00","91","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-21","0.00","92","76",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-22","0.11","95","73",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-23","0.13","95","76",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-24","0.80","88","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-25","0.00","82","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-26","4.20","82","74",
